game	JAS-SYS1_b1.2	galaga88	\N	\N	\N	\N	\N	Galaga '88 (US)	1987	Namco	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	pacmania	pm-snd1.bin	\N	\N	65536	f761ed5a	1487932c86a6094ed01d5032904fd7ae3435d09c	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	pacmania	pm-prg6.bin	\N	\N	131072	fe94900c	5ce726baafc5ed24ea4cae33232c97637afb486b	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	pacmania	pm-prg7.bin	\N	\N	65536	462fa4fd	b27bee1ac64ac204c85703c3822de7dbda11b75e	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	pacmania	pm-voic0.bin	\N	\N	65536	1ad5788f	f6b1ccdcc3db11c0ab83e3ff24e772cd2b491468	\N	\N	\N	\N	\N	\N	
game	JAS-SYS1_b1.2	pacmanij	\N	\N	\N	\N	\N	Pac-Mania (Japan)	1987	Namco	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	pacmanij	pm-c0.b8	\N	\N	131072	7c57644c	77d9cc9ffbed47a941e4c5e5645d7d1126f6c302	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	pacmanij	pm-c1.b8	\N	\N	131072	7eaa67ed	4ad6cfa31d781fa7169663bbc319fc79d8965290	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	pacmanij	pm-c2.e8	\N	\N	131072	27e739ac	be9dbd22d988b76f7044328e2056c3f26b703401	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	pacmanij	pm-c3.f8	\N	\N	131072	1dfda293	fa01b0b8a820c1d24ff0f84b857d2784f0dac1cf	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	pacmanij	pm-01.b9	\N	\N	131072	27bdf440	0be16dc73590eb71090e6a0e6ddd6e7f4f3dbfba	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	pacmanij	pm-00.a9	\N	\N	131072	fda57e8b	16a72585268159d24f881dbb1aa6ae82bcc4bde7	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	pacmanij	pm-p6.s10	\N	\N	131072	fe94900c	5ce726baafc5ed24ea4cae33232c97637afb486b	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	pacmanij	pm-p7.t10	\N	\N	65536	2aa99e2b	1d5e8ce6eac03696d51b32c1d0f6c3e82f604422	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	pacmanij	pm-s0.a10	\N	\N	65536	d5ef5eee	6f263955662defe7a03cc89368b70d5fcb06ee3e	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	pacmanij	pm-s1.b10	\N	\N	65536	411bc134	89960596def3580d19d9121d1efffbba2d1bdd94	\N	\N	\N	\N	\N	\N	
game_rom	JAS-SYS1_b1.2	pacmanij	pm-v0.b5	\N	\N	65536	e2689f79	b88e3435f2932901cc0a3b379b31a764bb9b2e2b	\N	\N	\N	\N	\N	\N	
